COUNTY,YEAR,County_ID,CRIME_THEFT_100k,CRIME_VIOLENT_100k,CRIME_PROPERTY_100k,OVERDOSE_100k,UNEMPLOYMENT_RATE,MEDIAN_INCOME,UNDER_18_POVERTY_RATE,ALL_AGES_POVERTY_RATE
MAHONING COUNTY,2015,50,2804.177591,289.7750793,2875.327722,25.87277494,6.1,42443,26.8,16.8
MAHONING COUNTY,2016,50,2381.768855,253.9338036,2449.050461,36.02821487,6.4,42839,27.2,18.7
MAHONING COUNTY,2017,50,2407.721403,276.0749533,2406.851876,48.69353506,6.8,43904,28.9,18.4
MARION COUNTY,2014,51,4151.149888,200.6414446,4158.749943,41.04029549,6,42240,27.3,21.3
MARION COUNTY,2015,51,4378.881038,247.7746169,4391.116821,33.64840476,5.1,43529,27.7,18.2
MARION COUNTY,2016,51,3833.029853,221.8719875,3817.728337,36.72363931,5.1,44783,22.7,14.8
MARION COUNTY,2017,51,2787.145255,187.8628293,2796.38441,46.19577771,5,46450,23.6,16.5
MEDINA COUNTY,2014,52,928.0795237,46.63144666,940.5903996,9.667495038,5,68405,9.6,7
MEDINA COUNTY,2015,52,841.318861,49.95685544,837.9127117,15.32767156,4.1,70576,8.8,7
MEDINA COUNTY,2016,52,664.2133171,46.35361021,673.2579239,23.17680511,4.4,73148,8.1,6.5
MEDINA COUNTY,2017,52,673.2495512,40.39497307,660.3456014,23.56373429,4.7,72926,7.6,6
MEIGS COUNTY,2014,53,1241.515594,124.5811496,1310.250021,17.18360684,9,38081,32.7,22.6
MEIGS COUNTY,2015,53,1061.351281,94.91759427,1108.810079,12.94330831,8.2,38479,31.3,22.8
MEIGS COUNTY,2016,53,1070.950469,172.7339465,1105.497258,38.86513797,8.5,39070,28.2,21.1
MEIGS COUNTY,2017,53,875.1787184,108.3141978,918.5043976,17.33027165,8.1,42200,32.2,19.9
MERCER COUNTY,2014,54,1360.176774,95.75251657,1399.459858,12.27596366,3.8,52606,11.7,8.9
MERCER COUNTY,2015,54,1006.876228,68.76227898,1053.536346,7.367387033,3.3,56124,10.6,7.8
MERCER COUNTY,2016,54,397.9073023,34.38705082,417.5570457,12.28108958,3.3,57577,10.3,8.2
MERCER COUNTY,2017,54,444.8790027,24.44390125,447.3233928,17.11073087,3.1,60055,9.7,6.9
MIAMI COUNTY,2014,55,2657.858498,97.26221315,2703.119132,18.29685198,5.4,51868,15.7,10.6
MIAMI COUNTY,2015,55,2325.089833,142.1955766,2344.305451,16.33327569,4.4,51685,14,10.7
MIAMI COUNTY,2016,55,2091.082066,92.74575234,2123.590886,37.28952929,4.4,59591,13.3,9.5
MIAMI COUNTY,2017,55,1767.919061,119.6979053,1796.418563,38.94931839,4.2,60800,12,9
MONROE COUNTY,2014,56,403.9559827,48.75330826,410.9207411,27.85903329,11,40646,23,15.7
MONROE COUNTY,2015,56,406.7321178,56.10098177,406.7321178,7.012622721,9.9,41754,24.4,18.3
MONROE COUNTY,2016,56,383.223334,78.06401249,432.9004329,7.096728408,11.1,44062,22.4,15.2
MONROE COUNTY,2017,56,344.0860215,50.17921147,365.5913978,14.33691756,8.3,44868,24.2,15.2
MONTGOMERY COUNTY,2014,57,3448.275862,358.5185241,3510.063497,47.13889447,6.2,42994,30.3,19.7
MONTGOMERY COUNTY,2015,57,3110.727535,391.0972723,3205.305385,44.93858081,5,46696,27,17.7
MONTGOMERY COUNTY,2016,57,3057.366277,405.3675477,3187.098933,60.16586978,4.9,47239,27.2,18.2
MONTGOMERY COUNTY,2017,57,2615.349024,360.5626809,2697.54302,97.99330034,4.9,48039,23,15.9
MORGAN COUNTY,2014,58,1438.263229,264.5861601,1431.478969,27.13704206,7.8,37923,27.6,18.1
MORGAN COUNTY,2015,58,1282.138254,217.0816091,1356.760057,0,7.3,39969,29.1,19
MORGAN COUNTY,2016,58,1261.701262,189.9335233,1363.451363,27.13336047,8.3,40680,27.6,18.7
MORGAN COUNTY,2017,58,1048.831983,231.5603078,1021.589593,13.62119458,6.7,41375,27.3,20.5
MORROW COUNTY,2014,59,933.0013451,51.51541169,964.4829856,17.1718039,6,49846,21.1,12.1
MORROW COUNTY,2015,59,420.5888244,34.33378158,452.0614575,8.583445395,5,52312,19.4,11.3
MORROW COUNTY,2016,59,74.43245255,5.725573273,77.29523919,17.17671982,5.1,52953,19.4,12.2
MORROW COUNTY,2017,59,71.54508771,11.44721403,65.8214807,31.47983859,4.9,55466,17.9,11.2
MUSKINGUM COUNTY,2014,60,2994.179278,176.9499418,3054.714785,5.820721769,7.1,41814,27.2,19.1
MUSKINGUM COUNTY,2015,60,3031.076659,174.0664237,3158.72537,15.08575672,6.2,43324,26.7,16.5
MUSKINGUM COUNTY,2016,60,2718.295279,173.3102253,2782.268852,8.142091122,6,44871,22.7,14.8
MUSKINGUM COUNTY,2017,60,2417.931931,189.2092678,2471.328412,24.37665413,5.6,44884,21.5,14.8
NOBLE COUNTY,2014,61,6.881365263,6.881365263,6.881365263,0,7.6,43953,20,16.3
NOBLE COUNTY,2015,61,283.3448514,6.910850035,290.2557015,34.55425017,7.3,47714,17.8,15
NOBLE COUNTY,2016,61,574.5137399,6.921852288,609.1230013,6.921852288,8.7,48836,18.1,15.1
